task_name,task_type,duration,mental_load,physical_load,friction,ideal_slot
Go for a run,physical,20,low,high,medium,morning
Do push-ups,physical,20,low,high,medium,morning
Yoga session,physical,20,low,high,medium,morning
Dance break,physical,20,low,high,medium,morning
Cycling,physical,20,low,high,medium,morning
Sketch design,skill_practice,30,medium,medium,medium,midday
Paint something small,crafting,30,medium,medium,medium,midday
DIY fix,crafting,30,medium,medium,medium,midday
Build a model,crafting,30,medium,medium,medium,midday
Sew a patch,crafting,30,medium,medium,medium,midday
Practice coding,skill_practice,45,high,low,high,focus_block
Play guitar,skill_practice,45,high,medium,high,focus_block
Language learning,skill_practice,45,high,medium,high,focus_block
Math exercises,skill_practice,45,high,medium,high,focus_block
Chess puzzles,skill_practice,45,high,medium,high,focus_block
Read research paper,comprehension,25,high,low,medium,quiet_block
Study textbook,comprehension,25,high,low,medium,quiet_block
Listen to lecture,comprehension,25,high,low,medium,quiet_block
Analyze case study,comprehension,25,high,low,medium,quiet_block
Review notes,comprehension,25,high,low,medium,quiet_block
Call a friend,social,15,medium,low,variable,flexible
Team chat,social,15,medium,low,variable,flexible
Coffee with colleague,social,15,medium,low,variable,flexible
Family time,social,15,medium,low,variable,flexible
Plan next day,mental_organization,20,high,low,high,post-reset
Sort notes,mental_organization,20,high,low,high,post-reset
Write to-do list,mental_organization,20,high,low,high,post-reset
Clear inbox,mental_organization,20,high,low,high,post-reset
Reflect on goals,mental_organization,20,high,low,high,post-reset
Watch series,leisure,60,low,low,low,recovery
Read novel,leisure,60,low,low,low,recovery
Play video game,leisure,60,low,low,low,recovery
Listen to music,leisure,60,low,low,low,recovery
Take a nap,leisure,60,low,low,low,recovery
Send messages,essential,90,medium,low,low,flexible
Write a poem,crafting,30,medium,low,medium,midday
Find information,essential,15,high,low,medium,post-reset
Meditate,mental_organization,15,high,low,low,post-reset
Cook a meal,crafting,30,low,medium,high,midday
Work on puzzle,skill_practice,30,high,medium,medium,focus_block
Read a book,comprehension,30,high,low,medium,quiet_block
Journal,mental_organization,15,medium,low,low,post-reset
Go for a walk,physical,30,low,high,low,recovery
jogging,physical,30,low,high,medium,morning
cycling,physical,30,low,high,medium,morning
painting,crafting,45,medium,medium,medium,midday
drawing,crafting,45,medium,medium,medium,midday
knitting,crafting,45,medium,medium,medium,midday
piano practice,skill_practice,30,medium,medium,high,midday
guitar practice,skill_practice,30,medium,medium,high,midday
language practice,skill_practice,30,medium,medium,high,midday
reading,comprehension,20,high,low,medium,quiet_block
writing,comprehension,25,high,low,medium,quiet_block
listening to podcasts,leisure,20,high,low,medium,recovery
watching documentaries,leisure,30,high,low,medium,quiet_block
video call,social,20,low,low,variable,flexible
Play a board game,social,30,medium,low,variable,flexible
go fishing,leisure,180,low,low,medium,recovery
read comics,leisure,30,low,low,low,recovery
learn a new recipe,crafting,45,medium,low,medium,flexible
Write a song,crafting,25,low,low,medium,midday
Prepare a diet drink,crafting,15,low,low,medium,recovery
Listening to a new album,leisure,45,low,low,medium,recovery
Practice basketball,physical,45,low,high,medium,morning
Go for a coffee,leisure,30,low,low,medium,recovery
Do research on new technologies,comprehension,45,high,low,medium,focus_block
Go to the beach,leisure,180,low,low,medium,recovery
Water the plants,essential,30,low,low,medium,recovery
Do the groceries,essential,45,low,low,medium,flexible
Watch the game,leisure,60,low,low,medium,recovery
Practice guitar scales,skill_practice,25,high,medium,medium,focus_block
Read a chapter of a book,comprehension,30,medium,low,medium,flexible
Go for a walk in the park,leisure,45,low,medium,medium,recovery
Prepare and eat lunch,essential,60,low,low,medium,midday
Watch a documentary,leisure,90,low,low,medium,recovery
Sketch or doodle freely,skill_practice,20,high,low,medium,post-reset
Do a bodyweight workout,physical,30,low,high,medium,morning
Write a short journal entry,mental_organization,15,high,low,medium,quiet_block
Listen to a podcast episode,leisure,45,medium,low,medium,recovery
Cook a new recipe,crafting,75,low,medium,medium,flexible
Clean a room thoroughly,essential,50,low,low,medium,post-reset
Study a language with flashcards,skill_practice,25,low,low,medium,flexible
Play a strategy board game,social,60,medium,low,medium,flexible
Research a topic online,comprehension,35,high,low,medium,post-reset
Do a deep breathing session,mental_organization,10,low,low,medium,recovery
Practice piano chords,skill_practice,30,medium,medium,medium,midday
Declutter digital files,mental_organization,40,low,low,medium,post-reset
Stretch and mobility routine,physical,20,low,medium,medium,morning
Plan weekly goals,mental_organization,30,medium,low,medium,flexible
Watch a short film,leisure,25,low,low,medium,recovery
Water indoor plants,essential,10,low,low,medium,recovery
Browse a local newspaper,essential,20,medium,low,medium,flexible
Do a short yoga flow,physical,25,low,low,medium,flexible
Play with a pet,leisure,15,low,low,medium,flexible
Try a new tea or coffee ritual,leisure,15,high,low,medium,post-reset
Sort laundry and fold clothes,essential,35,low,high,medium,flexible
Watch a comedy sketch,leisure,20,low,low,medium,recovery
Practice mindful eating,skill_practice,30,medium,low,medium,flexible
Write a thank-you message,crafting,10,low,low,medium,flexible
Explore a new music genre,leisure,40,low,low,medium,recovery
Do a mini photo walk,crafting,45,medium,medium,medium,flexible
Update your calendar or planner,mental_organization,20,low,high,medium,morning
Try a breathing app or tool,mental_organization,10,low,low,medium,midday
Read a blog post or article,comprehension,15,medium,low,medium,flexible
Do a quick sketch of your workspace,skill_practice,20,high,medium,medium,flexible
Read a news article,comprehension,10,low,low,medium,flexible
Do a 5-minute plank challenge,physical,5,low,low,medium,flexible
Write a poem or haiku,crafting,15,medium,low,medium,midday
Organize your desktop files,mental_organization,20,high,medium,medium,flexible
Practice deep breathing,skill_practice,10,low,low,medium,flexible
Sketch a self-portrait,skill_practice,30,low,low,medium,flexible
Watch a TED talk,leisure,18,low,low,medium,recovery
Do a Pomodoro work sprint,physical,25,low,low,medium,post-reset
Stretch your legs and back,physical,15,low,medium,medium,recovery
Make a gratitude list,mental_organization,10,low,low,medium,flexible
Clean your kitchen counter,essential,20,low,medium,medium,flexible
Play a mobile puzzle game,leisure,15,medium,low,medium,recovery
Listen to ambient music,leisure,30,low,medium,medium,recovery
Write a short blog post,crafting,45,medium,low,medium,post-reset
Do a guided meditation,mental_organization,20,medium,low,medium,focus_block
Water outdoor plants,essential,25,low,low,medium,morning
Try a new dance move,skill_practice,10,low,low,medium,midday
Review your budget,mental_organization,40,medium,low,medium,flexible
Declutter your inbox,mental_organization,30,low,low,medium,flexible
Make a smoothie,crafting,15,medium,medium,medium,flexible
Do a short HIIT workout,physical,20,low,medium,medium,morning
Read a research paper abstract,comprehension,10,low,low,medium,quiet_block
Update your resume,essential,60,high,medium,medium,focus_block
Play a musical instrument,leisure,35,low,low,medium,recovery
Organize your bookshelf,essential,30,low,low,medium,post-reset
Try a new recipe,skill_practice,60,medium,low,medium,flexible
Take a power nap,leisure,25,low,low,medium,recovery
Write a letter to your future self,mental_organization,20,medium,low,medium,flexible
Do a breathing ladder,mental_organization,12,low,low,medium,flexible
Watch a short documentary,leisure,30,low,low,medium,recovery
Practice a foreign language,skill_practice,40,medium,low,medium,midday
Do a digital detox,mental_organization,60,medium,low,medium,post-reset
Plan your next week,mental_organization,30,high,low,medium,focus_block
Do a posture check,physical,5,low,low,medium,morning
Make a to-do list,mental_organization,10,low,low,medium,focus_block
Call a mentor or colleague,social,35,medium,low,medium,flexible
Do a visualization exercise,mental_organization,15,high,low,medium,post-reset
Sort your wardrobe,essential,45,low,low,medium,flexible
Try a new productivity app,mental_organization,20,medium,low,medium,flexible
Practice mental math,skill_practice,15,high,low,medium,focus_block
Do a cold shower challenge,physical,10,low,low,medium,midday
Write a flash fiction story,crafting,25,high,low,medium,quiet_block
Update your habit tracker,essential,10,low,low,medium,midday
Do a breathing box drill,mental_organization,8,low,low,medium,recovery
Review your goals,mental_organization,20,medium,low,medium,flexible
Watch a stand-up comedy clip,leisure,12,low,low,medium,recovery
Do a wall sit,physical,5,low,low,medium,flexible
Make a mind map,mental_organization,25,low,low,medium,flexible
Try a new stretching routine,physical,20,low,medium,medium,post-reset
Do a journaling sprint,comprehension,15,high,low,medium,quiet_block
Refill water bottle,essential,5,low,low,medium,morning
Do a quick posture reset,physical,3,low,low,medium,post-reset
Write down three priorities,mental_organization,7,low,low,medium,flexible
Do a 10-minute walk,leisure,10,low,low,medium,flexible
Make a cup of tea,essential,10,low,low,medium,flexible
Check weather forecast,essential,5,low,low,medium,post-reset
Do a 3-minute gratitude scan,mental_organization,3,low,low,medium,recovery
Update your task board,mental_organization,15,high,low,medium,post-reset
Review yesterday’s progress,essential,20,high,medium,medium,focus_block
Do a 5-minute breathing reset,mental_organization,5,low,low,medium,recovery
Clean your glasses or screen,physical,5,low,low,medium,post-reset
Stretch wrists and shoulders,physical,8,low,low,medium,recovery
Write a tweet or short post,crafting,10,low,low,medium,flexible
Check your calendar,essential,5,low,low,medium,flexible
Do a 15-minute reading sprint,comprehension,15,medium,low,medium,focus_block
Organize your browser tabs,mental_organization,10,low,low,medium,recovery
Do a 20-minute focused work block,mental_organization,20,medium,low,medium,morning
Take a 10-minute break outside,essential,10,low,low,medium,recovery
Do a 25-minute deep work session,essential,25,medium,low,medium,midday
Write a short reflection,mental_organization,15,medium,low,medium,post-reset
Do a 30-minute creative sprint,mental_organization,30,medium,low,medium,midday
Review your weekly goals,mental_organization,20,medium,low,medium,post-rest
Do a 45-minute coding block,skill_practice,45,medium,low,medium,flexible
Try a new keyboard shortcut,skill_practice,5,low,low,medium,flexible
Do a 60-minute uninterrupted work session,essential,60,medium,low,medium,flexible
Write a short email,crafting,10,low,low,medium,post-reset
Do a 90-minute deep dive,leisure,90,low,medium,medium,flexible
Clean your workspace,essential,15,medium,low,medium,post-reset
Do a 2-minute silence reset,essential,2,low,low,medium,recovery
Do a 10-minute mobility drill,physical,10,low,low,medium,post-reset
Write a short gratitude note,crafting,10,low,low,medium,quiet_block
Do a 20-minute journaling session,mental_organization,20,medium,low,medium,post-reset
Try a new breathing pattern,skill_practice,5,low,low,medium,midday
Do a 15-minute cleanup sprint,mental_organization,15,high,low,medium,post-reset
Do a 25-minute research block,comprehension,25,medium,low,medium,flexible
Write a short summary of a podcast,crafting,20,high,low,medium,midday
Do a 30-minute planning session,mental_organization,30,low,low,medium,flexible
Try a new productivity method,mental_organization,20,high,low,medium,post-reset
Do a 45-minute creative block,mental_organization,45,low,low,medium,midday
Write a short reflection on your day,mental_organization,15,low,low,medium,flexible
Do a 60-minute learning session,comprehension,60,low,low,medium,midday
Try a new app feature,leisure,10,low,low,medium,flexible
Write a short review of a book,crafting,25,low,low,medium,flexible
Do a 5-minute reset ritual,essential,5,low,low,medium,recovery
Check your weekly metrics,essential,15,low,low,medium,post-reset
Do a 20-minute reflection walk,essential,20,low,low,medium,recovery
Refill your water bottle,essential,5,low,low,medium,morning
Stretch your legs,physical,10,low,low,medium,recovery
Write down today's goals,mental_organization,7,low,low,medium,post-reset
Make a cup of coffee,essential,10,low,low,medium,flexible
Check the weather forecast,essential,5,low,low,medium,morning
Organize your workspace,mental_organization,15,medium,medium,medium,post-reset
Clean your phone screen,essential,5,low,low,medium,post-reset
Update your calendar,mental_organization,10,low,low,medium,post-reset
Review yesterday's progress,mental_organization,20,medium,low,medium,focus_block
Sort your downloads folder,mental_organization,15,low,low,medium,flexible
Listen to a music playlist,leisure,30,low,low,medium,recovery
Sketch something from memory,skill_practice,25,low,low,medium,midday
Read a blog post,comprehension,10,low,low,medium,flexible
Vacuum your room,essential,20,low,low,medium,midday
Fold clean laundry,essential,30,low,low,medium,midday
Meditate in silence,mental_organization,15,medium,low,medium,recovery
Practice guitar chords,skill_practice,30,medium,medium,medium,flexible
Write a blog draft,crafting,45,medium,low,medium,flexible
Clean your keyboard,essential,10,low,low,medium,midday
Plan your weekend,mental_organization,20,high,low,medium,flexible
Read a chapter of a novel,leisure,30,low,low,medium,post-reset
Stretch your back and shoulders,physical,12,low,medium,medium,recovery
Check your app usage stats,essential,5,low,low,medium,flexible
Sketch a mind map,mental_organization,20,high,low,medium,focus_block
Clean your bathroom sink,essential,15,medium,medium,medium,post-reset
Read a research abstract,comprehension,10,low,low,medium,quiet_block
Try a new breathing technique,mental_organization,5,low,low,medium,recovery
Write a reflection on your habits,mental_organization,20,medium,low,medium,midday
Organize your notes,mental_organization,20,medium,low,medium,flexible
Read a page from a novel,comprehension,5,low,low,medium,flexible
Organize your spice rack,mental_organization,15,medium,low,medium,focus_block
Check your sleep stats,essential,5,low,low,medium,post-reset
Write a short message to a friend,crafting,10,low,low,medium,flexible
Clean your bathroom cabinet,essential,15,low,low,medium,post-reset
Sort your desktop icons,mental_organization,10,low,low,medium,midday
Write a short goal summary,mental_organization,10,low,low,medium,recovery
Check your hydration level,essential,2,low,low,medium,midday
Read a health tip,comprehension,3,low,low,medium,flexible
Organize your wallet,mental_organization,10,low,low,medium,flexible
Write a quick gratitude note,crafting,5,low,low,medium,quiet_block
Clean your windowsill,essential,10,low,low,medium,post-reset
Read a page from a biography,comprehension,6,low,low,medium,flexible
Check your internet speed,essential,3,low,low,medium,morning
Clean your fridge shelves,essential,25,low,low,medium,recovery
Write a short review,crafting,10,low,low,medium,post-reset
Read a Wikipedia article,comprehension,12,high,low,medium,post-reset
Write a daily affirmation,crafting,5,low,low,medium,post-reset
Sort your socks,mental_organization,10,low,low,medium,post-reset
Check your screen time,essential,5,low,low,medium,midday
Clean your shoes,essential,15,low,low,medium,post-reset
Read a tech blog,comprehension,20,high,low,medium,post-reset
Organize your cleaning supplies,mental_organization,25,medium,low,medium,post-reset
Read a page from a textbook,comprehension,7,low,low,medium,quiet_block
Check your device battery levels,essential,3,low,low,medium,recovery
Organize your receipts,mental_organization,25,medium,low,medium,post-reset
Write a quick checklist,mental_organization,7,low,low,medium,post-reset
Read a product review,comprehension,10,low,low,medium,flexible
Review your calendar events,mental_organization,10,low,low,medium,post-reset
Update your shopping list,mental_organization,10,low,low,medium,post-reset
Write a short email reply,crafting,5,low,low,medium,flexible
Stretch your calves,physical,8,low,low,medium,recovery
Organize your cables,mental_organization,20,low,medium,medium,flexible
Write a short plan for tomorrow,mental_organization,15,medium,low,medium,midday
Clean your bathroom mirror,essential,10,low,low,medium,post-reset
Review your trading journal,mental_organization,35,medium,low,medium,focus_block
Try a new journaling format,mental_organization,10,low,low,medium,quiet_block
Plan your next reading list,mental_organization,25,medium,low,medium,post-reset
Check your step count,essential,2,low,low,medium,post-reset
Read a page from a manual,comprehension,5,low,low,medium,quiet_block
